id,城市,时间,温度,体感温度,天气情况,风力等级,湿度,能见度
657,淮安,2025-05-06T22:00+08:00,16.0,14.0,雾,3,75.0,9.0
658,连云港,2025-05-06T22:00+08:00,13.0,13.0,雾,1,87.0,4.0
659,常州,2025-05-06T22:00+08:00,18.0,17.0,阴,2,75.0,14.0
660,泰州,2025-05-06T22:00+08:00,16.0,15.0,阴,2,73.0,15.0
661,宿迁,2025-05-06T22:00+08:00,19.0,17.0,阴,3,58.0,17.0
662,武汉,2025-05-06T22:02+08:00,19.0,20.0,霾,0,75.0,10.0
663,襄阳,2025-05-06T22:00+08:00,23.0,15.0,扬沙,6,32.0,6.0
664,鄂州,2025-05-06T22:02+08:00,22.0,20.0,霾,3,51.0,11.0
665,孝感,2025-05-06T22:02+08:00,20.0,20.0,霾,1,54.0,7.0
666,黄冈,2025-05-06T22:02+08:00,20.0,20.0,霾,1,66.0,4.0
667,黄石,2025-05-06T22:00+08:00,20.0,20.0,霾,1,55.0,8.0
668,咸宁,2025-05-06T22:00+08:00,19.0,18.0,霾,2,66.0,9.0
669,荆州,2025-05-06T22:00+08:00,22.0,22.0,霾,2,50.0,6.0
670,宜昌,2025-05-06T21:58+08:00,22.0,21.0,阴,2,40.0,16.0
671,恩施,2025-05-06T22:00+08:00,20.0,20.0,阴,1,58.0,24.0
672,十堰,2025-05-06T22:00+08:00,24.0,23.0,浮尘,1,27.0,5.0
673,神农架,2025-05-06T22:00+08:00,19.0,18.0,霾,2,48.0,11.0
674,随州,2025-05-06T22:00+08:00,19.0,18.0,霾,1,48.0,7.0
675,荆门,2025-05-06T22:00+08:00,22.0,20.0,浮尘,3,45.0,6.0
676,天门,2025-05-06T22:00+08:00,21.0,21.0,阴,1,57.0,7.0
677,仙桃,2025-05-06T22:00+08:00,22.0,23.0,霾,1,62.0,6.0
678,潜江,2025-05-06T22:00+08:00,20.0,22.0,霾,0,73.0,14.0
679,杭州,2025-05-06T22:00+08:00,21.0,20.0,阴,2,42.0,13.0
680,湖州,2025-05-06T21:58+08:00,20.0,20.0,阴,1,52.0,16.0
681,嘉兴,2025-05-06T22:00+08:00,19.0,17.0,阴,3,71.0,12.0
682,宁波,2025-05-06T22:00+08:00,19.0,19.0,阴,2,72.0,11.0
683,绍兴,2025-05-06T21:58+08:00,20.0,18.0,阴,3,74.0,26.0
684,台州,2025-05-06T22:00+08:00,23.0,24.0,雾,2,79.0,9.0
685,温州,2025-05-06T22:02+08:00,22.0,25.0,雾,0,84.0,8.0
686,丽水,2025-05-06T22:02+08:00,22.0,23.0,阴,1,70.0,10.0
687,金华,2025-05-06T22:00+08:00,25.0,23.0,阴,3,34.0,10.0
688,衢州,2025-05-06T22:00+08:00,24.0,25.0,阴,2,70.0,14.0
689,舟山,2025-05-06T22:00+08:00,17.0,18.0,阴,1,80.0,13.0
690,合肥,2025-05-06T22:02+08:00,16.0,16.0,阴,1,91.0,20.0
691,蚌埠,2025-05-06T22:00+08:00,18.0,18.0,阴,1,58.0,18.0
692,芜湖,2025-05-06T22:02+08:00,20.0,20.0,霾,1,53.0,9.0
693,淮南,2025-05-06T22:02+08:00,18.0,17.0,阴,2,57.0,18.0
694,马鞍山,2025-05-06T22:00+08:00,20.0,17.0,阴,3,47.0,16.0
695,安庆,2025-05-06T22:00+08:00,21.0,20.0,霾,2,37.0,11.0
696,宿州,2025-05-06T22:00+08:00,15.0,15.0,阴,1,78.0,20.0
697,阜阳,2025-05-06T22:00+08:00,22.0,19.0,阴,3,40.0,19.0
698,亳州,2025-05-06T22:00+08:00,20.0,18.0,阴,3,48.0,22.0
699,黄山,2025-05-06T22:00+08:00,23.0,22.0,霾,2,44.0,9.0
700,滁州,2025-05-06T22:00+08:00,17.0,17.0,阴,1,83.0,13.0
701,淮北,2025-05-06T22:00+08:00,17.0,18.0,阴,0,71.0,15.0
702,铜陵,2025-05-06T22:00+08:00,20.0,21.0,霾,1,66.0,10.0
703,宣城,2025-05-06T22:00+08:00,18.0,19.0,霾,1,77.0,10.0
704,六安,2025-05-06T22:00+08:00,18.0,18.0,阴,1,58.0,13.0
705,池州,2025-05-06T22:00+08:00,19.0,19.0,霾,1,72.0,12.0
706,福州,2025-05-06T22:00+08:00,25.0,27.0,阴,2,73.0,21.0
707,厦门,2025-05-06T22:00+08:00,22.0,23.0,小雨,3,97.0,5.0
708,宁德,2025-05-06T22:00+08:00,24.0,26.0,阴,2,81.0,30.0
709,莆田,2025-05-06T22:00+08:00,21.0,22.0,小雨,2,76.0,19.0
710,泉州,2025-05-06T21:59+08:00,21.0,18.0,小雨,5,87.0,16.0
711,漳州,2025-05-06T22:00+08:00,23.0,26.0,小雨,2,97.0,7.0
712,龙岩,2025-05-06T22:00+08:00,22.0,24.0,小雨,1,93.0,8.0
713,三明,2025-05-06T22:00+08:00,25.0,25.0,阴,2,57.0,17.0
714,南平,2025-05-06T22:00+08:00,25.0,27.0,阴,1,65.0,22.0
715,南昌,2025-05-06T22:00+08:00,25.0,26.0,阴,1,64.0,19.0
716,九江,2025-05-06T22:00+08:00,23.0,22.0,霾,3,47.0,8.0
717,上饶,2025-05-06T22:00+08:00,23.0,24.0,阴,1,62.0,18.0
718,抚州,2025-05-06T22:00+08:00,24.0,26.0,阴,1,77.0,15.0
719,宜春,2025-05-06T22:00+08:00,25.0,27.0,阴,1,70.0,13.0
720,吉安,2025-05-06T22:00+08:00,26.0,27.0,阴,1,55.0,27.0
721,赣州,2025-05-06T22:00+08:00,25.0,29.0,阴,0,86.0,30.0
722,景德镇,2025-05-06T22:00+08:00,23.0,24.0,阴,2,70.0,13.0
723,萍乡,2025-05-06T22:00+08:00,24.0,26.0,阴,1,77.0,13.0
724,新余,2025-05-06T22:02+08:00,24.0,24.0,阴,2,56.0,28.0
725,鹰潭,2025-05-06T22:00+08:00,24.0,26.0,阴,1,71.0,26.0
726,长沙,2025-05-06T21:58+08:00,22.0,23.0,小雨,2,87.0,5.0
727,湘潭,2025-05-06T22:00+08:00,22.0,24.0,小雨,1,99.0,7.0
728,株洲,2025-05-06T22:00+08:00,24.0,25.0,阴,2,72.0,11.0
729,衡阳,2025-05-06T22:02+08:00,23.0,24.0,阴,2,75.0,12.0
730,郴州,2025-05-06T21:58+08:00,21.0,23.0,阴,1,97.0,11.0
731,常德,2025-05-06T22:02+08:00,23.0,24.0,霾,1,54.0,5.0
732,益阳,2025-05-06T22:00+08:00,22.0,23.0,阴,2,83.0,14.0
733,娄底,2025-05-06T22:00+08:00,21.0,22.0,雾,2,88.0,6.0
734,邵阳,2025-05-06T22:00+08:00,21.0,21.0,小雨,3,85.0,7.0
735,岳阳,2025-05-06T22:00+08:00,23.0,24.0,霾,1,71.0,6.0
736,张家界,2025-05-06T22:00+08:00,20.0,21.0,霾,1,70.0,11.0
737,怀化,2025-05-06T22:00+08:00,19.0,20.0,雾,2,100.0,6.0
738,永州,2025-05-06T22:00+08:00,22.0,23.0,雾,2,84.0,7.0
739,湘西,2025-05-06T22:00+08:00,21.0,23.0,阴,1,85.0,13.0
740,贵阳,2025-05-06T22:02+08:00,15.0,14.0,雾,2,95.0,15.0
741,遵义,2025-05-06T22:02+08:00,18.0,17.0,阴,2,68.0,29.0
742,安顺,2025-05-06T22:02+08:00,14.0,11.0,雾,4,98.0,2.0
743,黔南,2025-05-06T22:00+08:00,15.0,14.0,雾,3,97.0,7.0
744,黔东南,2025-05-06T22:02+08:00,17.0,18.0,阴,1,92.0,25.0
745,铜仁,2025-05-06T22:02+08:00,20.0,22.0,阴,1,88.0,12.0
746,毕节,2025-05-06T22:02+08:00,14.0,14.0,阴,1,92.0,14.0
747,六盘水,2025-05-06T22:02+08:00,13.0,13.0,中雨,2,95.0,2.0
748,黔西南,2025-05-06T22:02+08:00,18.0,19.0,阴,1,93.0,13.0
749,成都,2025-05-06T22:02+08:00,18.0,18.0,阴,1,70.0,2.0
750,攀枝花,2025-05-06T22:02+08:00,28.0,29.0,多云,1,35.0,30.0
751,自贡,2025-05-06T22:02+08:00,19.0,19.0,阴,2,80.0,19.0
752,绵阳,2025-05-06T22:02+08:00,21.0,21.0,多云,2,57.0,30.0
753,南充,2025-05-06T22:02+08:00,21.0,21.0,雾,2,73.0,10.0
754,达州,2025-05-06T22:02+08:00,23.0,24.0,多云,1,63.0,18.0
755,遂宁,2025-05-06T22:02+08:00,19.0,20.0,阴,1,81.0,18.0
756,广安,2025-05-06T22:02+08:00,21.0,22.0,阴,1,78.0,10.0
757,巴中,2025-05-06T22:02+08:00,20.0,19.0,多云,2,58.0,30.0
758,泸州,2025-05-06T22:02+08:00,18.0,18.0,阴,3,94.0,12.0
759,宜宾,2025-05-06T22:02+08:00,18.0,17.0,阴,3,88.0,15.0
760,内江,2025-05-06T22:02+08:00,19.0,20.0,阴,2,86.0,22.0
761,资阳,2025-05-06T22:01+08:00,21.0,22.0,阴,1,69.0,20.0
762,乐山,2025-05-06T22:01+08:00,19.0,20.0,阴,1,89.0,22.0
763,眉山,2025-05-06T22:02+08:00,18.0,18.0,阴,1,76.0,15.0
764,凉山,2025-05-06T22:02+08:00,19.0,17.0,阴,2,49.0,30.0
765,雅安,2025-05-06T22:02+08:00,18.0,19.0,阴,1,77.0,30.0
766,甘孜,2025-05-06T22:02+08:00,9.0,6.0,多云,2,57.0,30.0
767,阿坝,2025-05-06T22:02+08:00,9.0,6.0,多云,2,46.0,30.0
768,德阳,2025-05-06T22:02+08:00,20.0,20.0,阴,2,62.0,29.0
769,广元,2025-05-06T22:02+08:00,22.0,22.0,多云,1,45.0,30.0
770,广州,2025-05-06T22:00+08:00,24.0,27.0,雾,2,95.0,3.0
771,韶关,2025-05-06T22:00+08:00,25.0,27.0,阴,2,87.0,30.0
772,惠州,2025-05-06T22:00+08:00,25.0,29.0,阴,1,92.0,30.0
773,梅州,2025-05-06T22:00+08:00,24.0,27.0,阴,1,94.0,22.0
774,汕头,2025-05-06T22:00+08:00,26.0,29.0,阴,1,79.0,30.0
775,深圳,2025-05-06T22:00+08:00,25.0,29.0,阴,1,95.0,14.0
776,珠海,2025-05-06T22:00+08:00,27.0,30.0,阴,2,88.0,28.0
777,佛山,2025-05-06T22:00+08:00,25.0,28.0,阴,1,93.0,23.0
778,肇庆,2025-05-06T22:00+08:00,25.0,28.0,雾,1,96.0,6.0
779,湛江,2025-05-06T22:00+08:00,27.0,31.0,多云,2,90.0,21.0
780,江门,2025-05-06T22:00+08:00,24.0,27.0,小雨,1,95.0,8.0
781,河源,2025-05-06T22:00+08:00,23.0,26.0,雾,1,96.0,14.0
782,清远,2025-05-06T22:02+08:00,25.0,27.0,阴,2,92.0,25.0
783,云浮,2025-05-06T22:00+08:00,25.0,28.0,阴,1,92.0,23.0
784,潮州,2025-05-06T22:00+08:00,23.0,26.0,阴,1,95.0,16.0
785,东莞,2025-05-06T22:00+08:00,25.0,29.0,雾,1,94.0,4.0
786,中山,2025-05-06T22:02+08:00,24.0,27.0,阴,1,94.0,30.0
787,阳江,2025-05-06T22:00+08:00,27.0,29.0,阴,3,87.0,30.0
788,揭阳,2025-05-06T22:00+08:00,25.0,28.0,阴,1,89.0,18.0
789,茂名,2025-05-06T22:00+08:00,28.0,31.0,阴,2,85.0,30.0
790,汕尾,2025-05-06T22:00+08:00,25.0,29.0,阴,1,92.0,30.0
791,昆明,2025-05-06T22:02+08:00,23.0,21.0,多云,3,43.0,30.0
792,大理,2025-05-06T22:02+08:00,20.0,17.0,多云,3,53.0,30.0
793,红河,2025-05-06T22:02+08:00,30.0,30.0,多云,3,42.0,30.0
794,曲靖,2025-05-06T22:02+08:00,20.0,20.0,阴,2,71.0,10.0
795,保山,2025-05-06T22:00+08:00,18.0,18.0,晴,2,72.0,15.0
796,文山,2025-05-06T22:02+08:00,23.0,24.0,晴,2,73.0,30.0
797,玉溪,2025-05-06T22:02+08:00,23.0,23.0,多云,1,47.0,30.0
798,楚雄,2025-05-06T22:02+08:00,24.0,23.0,多云,2,40.0,30.0
799,普洱,2025-05-06T22:02+08:00,24.0,25.0,多云,1,56.0,30.0
800,昭通,2025-05-06T22:02+08:00,12.0,10.0,阴,2,87.0,30.0
801,临沧,2025-05-06T22:02+08:00,19.0,20.0,雾,1,71.0,13.0
802,怒江,2025-05-06T22:02+08:00,24.0,25.0,阴,1,58.0,24.0
803,迪庆,2025-05-06T22:02+08:00,8.0,5.0,多云,3,65.0,30.0
804,丽江,2025-05-06T22:02+08:00,19.0,16.0,多云,3,41.0,30.0
805,德宏,2025-05-06T22:02+08:00,24.0,25.0,晴,2,63.0,30.0
806,西双版纳,2025-05-06T22:02+08:00,29.0,31.0,晴,2,59.0,17.0
807,南宁,2025-05-06T21:58+08:00,27.0,28.0,阴,4,83.0,12.0
808,崇左,2025-05-06T22:00+08:00,27.0,29.0,多云,2,79.0,30.0
809,柳州,2025-05-06T22:02+08:00,25.0,25.0,多云,3,74.0,21.0
810,来宾,2025-05-06T22:00+08:00,26.0,28.0,多云,2,79.0,10.0
811,桂林,2025-05-06T22:02+08:00,24.0,23.0,阴,3,60.0,30.0
812,梧州,2025-05-06T22:00+08:00,27.0,31.0,雾,1,84.0,10.0
813,贺州,2025-05-06T22:00+08:00,25.0,26.0,阴,3,73.0,30.0
814,贵港,2025-05-06T22:02+08:00,27.0,27.0,阴,4,92.0,15.0
815,玉林,2025-05-06T22:02+08:00,25.0,27.0,阴,3,93.0,10.0
816,百色,2025-05-06T22:02+08:00,26.0,28.0,多云,1,72.0,13.0
817,钦州,2025-05-06T22:00+08:00,28.0,30.0,多云,3,84.0,30.0
818,河池,2025-05-06T22:00+08:00,24.0,25.0,多云,2,72.0,30.0
819,北海,2025-05-06T22:02+08:00,27.0,31.0,多云,1,85.0,16.0
820,防城港,2025-05-06T22:02+08:00,27.0,28.0,多云,3,82.0,29.0
821,香港,2025-05-06T21:34+08:00,26.0,30.0,陣雨,2,85.0,8.0
822,澳门,2025-05-06T22:01+08:00,26.0,27.0,陣雨,4,90.0,8.0
823,台北,2025-05-06T22:01+08:00,23.0,25.0,陰,2,97.0,2.0
824,高雄,2025-05-06T22:02+08:00,24.0,26.0,多雲,2,96.0,6.0
825,台中,2025-05-06T22:01+08:00,23.0,25.0,中雨,2,98.0,8.0
826,海口,2025-05-06T22:02+08:00,28.0,30.0,阴,3,79.0,30.0
827,三亚,2025-05-06T21:58+08:00,28.0,32.0,多云,2,90.0,5.0
828,三沙,2025-05-06T22:00+08:00,29.0,32.0,多云,2,76.0,30.0
