id,城市,观测时间,最高温度,最低温度,白天天气状况,晚间天气状况,白天风力,夜间风力,降水量,紫外线,湿度,能见度,云量
2438,黔东南,2024-02-28,5.0,2.0,小雨,小雨,1-3,1-3,4.2,2.0,98.0,4.0,74.0
2439,汕头,2024-02-28,22.0,14.0,阴,多云,1-3,1-3,0.0,2.0,85.0,25.0,25.0
2440,雅安,2024-02-26,9.0,4.0,多云,阴,1-3,1-3,0.0,2.0,88.0,22.0,25.0
2441,黔东南,2024-02-29,5.0,3.0,小雨,小雨,1-3,1-3,1.1,1.0,97.0,5.0,56.0
2442,雅安,2024-02-27,11.0,4.0,多云,小雨,1-3,1-3,0.0,1.0,93.0,4.0,25.0
2443,汕头,2024-02-29,23.0,15.0,阴,阴,1-3,1-3,0.0,2.0,85.0,25.0,25.0
2444,雅安,2024-02-28,9.0,5.0,小雨,小雨,1-3,1-3,1.0,1.0,89.0,24.0,55.0
2445,汕头,2024-03-01,18.0,13.0,多云,阴,1-3,1-3,0.0,2.0,77.0,21.0,25.0
2446,黔东南,2024-03-01,7.0,2.0,小雨,小雨,1-3,1-3,1.0,4.0,96.0,14.0,55.0
2447,深圳,2024-02-24,22.0,14.0,多云,多云,1-3,1-3,0.0,2.0,56.0,25.0,25.0
2448,铜仁,2024-02-24,0.0,-1.0,阴,阴,1-3,1-3,0.0,1.0,85.0,15.0,0.0
2449,深圳,2024-02-25,21.0,14.0,多云,多云,1-3,1-3,0.0,2.0,76.0,25.0,25.0
2450,铜仁,2024-02-25,2.0,0.0,阴,小雨,1-3,1-3,0.0,1.0,94.0,4.0,25.0
2451,深圳,2024-02-26,23.0,14.0,多云,多云,1-3,1-3,0.0,2.0,78.0,25.0,25.0
2452,深圳,2024-02-27,22.0,14.0,多云,多云,1-3,1-3,0.0,7.0,78.0,25.0,25.0
2453,深圳,2024-02-28,24.0,16.0,多云,多云,1-3,1-3,0.0,3.0,87.0,25.0,25.0
2454,深圳,2024-02-29,26.0,16.0,多云,阴,1-3,1-3,0.0,3.0,71.0,25.0,25.0
2455,深圳,2024-03-01,19.0,14.0,阴,阴,1-3,1-3,0.0,2.0,62.0,25.0,25.0
2456,珠海,2024-02-24,20.0,15.0,阴,多云,1-3,1-3,0.0,2.0,65.0,25.0,25.0
2457,珠海,2024-02-25,20.0,15.0,多云,多云,1-3,1-3,0.0,2.0,70.0,25.0,25.0
2458,珠海,2024-02-26,21.0,16.0,多云,多云,1-3,1-3,0.0,3.0,79.0,25.0,25.0
2459,珠海,2024-02-27,20.0,16.0,多云,多云,1-3,1-3,0.0,3.0,80.0,25.0,25.0
2460,珠海,2024-02-28,21.0,17.0,多云,多云,1-3,1-3,0.0,5.0,90.0,25.0,25.0
2461,珠海,2024-02-29,24.0,14.0,多云,阴,1-3,1-3,0.0,7.0,68.0,25.0,25.0
2462,珠海,2024-03-01,19.0,12.0,阴,阵雨,1-3,1-3,0.0,2.0,69.0,25.0,25.0
2463,佛山,2024-02-24,16.0,12.0,阴,阴,1-3,1-3,0.0,2.0,62.0,25.0,25.0
2464,佛山,2024-02-25,17.0,12.0,多云,多云,1-3,1-3,0.0,2.0,56.0,25.0,25.0
2465,佛山,2024-02-26,19.0,12.0,多云,多云,1-3,1-3,0.0,2.0,55.0,25.0,25.0
2466,佛山,2024-02-27,18.0,12.0,多云,多云,1-3,1-3,0.0,7.0,65.0,25.0,25.0
2467,佛山,2024-02-28,23.0,15.0,多云,多云,1-3,1-3,0.0,3.0,76.0,25.0,25.0
2468,雅安,2024-02-29,10.0,5.0,阴,中雨,1-3,1-3,1.0,2.0,91.0,18.0,55.0
2469,佛山,2024-02-29,25.0,13.0,阵雨,阵雨,1-3,1-3,1.0,3.0,58.0,25.0,60.0
2470,佛山,2024-03-01,19.0,12.0,阵雨,阵雨,1-3,1-3,1.0,2.0,66.0,25.0,55.0
2471,雅安,2024-03-01,9.0,5.0,小雨,小雨,1-3,1-3,1.1,1.0,92.0,12.0,56.0
2472,肇庆,2024-02-24,14.0,9.0,阴,阴,1-3,1-3,0.0,2.0,67.0,25.0,25.0
2473,铜仁,2024-02-26,3.0,0.0,阴,小雨,1-3,1-3,0.0,2.0,97.0,4.0,25.0
2474,肇庆,2024-02-25,16.0,9.0,多云,阴,1-3,1-3,0.0,2.0,64.0,25.0,25.0
2475,甘孜,2024-02-24,10.0,-4.0,多云,晴,1-3,1-3,0.0,6.0,64.0,20.0,25.0
2476,肇庆,2024-02-26,18.0,12.0,多云,多云,1-3,1-3,0.0,2.0,65.0,25.0,25.0
2477,铜仁,2024-02-27,3.0,1.0,小雨,小雨,1-3,1-3,1.0,1.0,98.0,4.0,55.0
2478,甘孜,2024-02-25,8.0,-4.0,多云,多云,5-6,1-3,0.0,6.0,62.0,24.0,25.0
2479,肇庆,2024-02-27,18.0,12.0,多云,阴,1-3,1-3,0.0,6.0,65.0,25.0,25.0
2480,铜仁,2024-02-28,4.0,1.0,小雨,小雨,1-3,1-3,5.1,1.0,99.0,1.0,80.0
2481,甘孜,2024-02-26,9.0,-4.0,晴,多云,1-3,1-3,0.0,6.0,73.0,24.0,25.0
2482,肇庆,2024-02-28,22.0,14.0,多云,阴,1-3,1-3,0.0,2.0,80.0,25.0,25.0
2483,甘孜,2024-02-27,11.0,-2.0,晴,阴,1-3,1-3,0.0,6.0,68.0,24.0,25.0
2484,肇庆,2024-02-29,23.0,13.0,阵雨,阴,1-3,1-3,1.0,2.0,69.0,24.0,60.0
2485,铜仁,2024-02-29,5.0,2.0,小雨,小雨,1-3,1-3,1.4,1.0,100.0,1.0,58.0
2486,肇庆,2024-03-01,16.0,10.0,阵雨,阵雨,1-3,1-3,1.0,2.0,75.0,25.0,55.0
2487,铜仁,2024-03-01,9.0,3.0,多云,多云,1-3,1-3,0.0,5.0,99.0,5.0,25.0
2488,湛江,2024-02-24,19.0,14.0,阴,阵雨,1-3,1-3,0.0,2.0,58.0,25.0,25.0
2489,湛江,2024-02-25,21.0,14.0,多云,多云,1-3,1-3,0.0,3.0,86.0,25.0,25.0
2490,甘孜,2024-02-28,9.0,-4.0,小雪,小雪,1-3,1-3,1.5,3.0,80.0,17.0,40.0
2491,湛江,2024-02-26,23.0,16.0,多云,多云,1-3,1-3,0.0,7.0,86.0,25.0,25.0
2492,毕节,2024-02-24,1.0,-1.0,阴,阴,1-3,1-3,0.0,3.0,89.0,19.0,25.0
2493,甘孜,2024-02-29,8.0,-4.0,小雪,阴,1-3,1-3,1.0,6.0,86.0,13.0,40.0
2494,湛江,2024-02-27,23.0,17.0,多云,多云,1-3,1-3,0.0,3.0,90.0,25.0,25.0
2495,毕节,2024-02-25,5.0,0.0,阴,阴,1-3,1-3,0.0,3.0,89.0,19.0,25.0
2496,甘孜,2024-03-01,8.0,-4.0,阴,阴,1-3,1-3,0.0,6.0,84.0,14.0,25.0
2497,湛江,2024-02-28,23.0,19.0,多云,多云,1-3,1-3,0.0,2.0,92.0,25.0,25.0
2498,毕节,2024-02-26,3.0,0.0,阴,阴,1-3,1-3,0.0,3.0,93.0,8.0,25.0
2499,阿坝,2024-02-24,4.0,-9.0,小雨,多云,1-3,1-3,1.3,3.0,86.0,24.0,57.0
2500,湛江,2024-02-29,26.0,16.0,多云,阵雨,1-3,1-3,0.0,8.0,71.0,24.0,25.0
2501,毕节,2024-02-27,6.0,1.0,阴,阴,1-3,1-3,0.0,3.0,92.0,8.0,25.0
2502,阿坝,2024-02-25,6.0,-8.0,多云,多云,3-4,1-3,0.0,6.0,63.0,24.0,25.0
2503,湛江,2024-03-01,19.0,13.0,阵雨,阵雨,1-3,1-3,2.0,2.0,68.0,25.0,55.0
2504,江门,2024-02-24,15.0,10.0,阴,阴,1-3,1-3,0.0,2.0,63.0,25.0,25.0
2505,毕节,2024-02-28,6.0,2.0,阴,小雨,1-3,1-3,0.0,3.0,93.0,12.0,25.0
2506,阿坝,2024-02-26,6.0,-7.0,多云,阴,1-3,1-3,0.0,6.0,85.0,24.0,8.0
2507,江门,2024-02-25,16.0,10.0,阴,多云,1-3,1-3,0.0,2.0,55.0,25.0,25.0
2508,江门,2024-02-26,19.0,12.0,多云,多云,1-3,1-3,0.0,2.0,57.0,25.0,25.0
2509,江门,2024-02-27,18.0,12.0,多云,阴,1-3,1-3,0.0,7.0,72.0,25.0,25.0
2510,文山,2024-02-24,22.0,12.0,多云,阴,1-3,1-3,0.0,6.0,87.0,22.0,25.0
2511,毕节,2024-02-29,6.0,2.0,阴,小雨,1-3,1-3,0.0,3.0,98.0,1.0,25.0
2512,江门,2024-02-28,20.0,13.0,阴,阴,1-3,1-3,0.0,2.0,83.0,25.0,25.0
2513,阿坝,2024-02-27,6.0,-5.0,多云,阴,1-3,1-3,0.0,2.0,94.0,19.0,25.0
2514,毕节,2024-03-01,6.0,2.0,阴,阴,1-3,1-3,1.0,3.0,96.0,3.0,55.0
2515,江门,2024-02-29,24.0,12.0,阴,小雨,1-3,1-3,0.0,3.0,60.0,25.0,25.0
2516,阿坝,2024-02-28,6.0,-6.0,中雪,小雪,1-3,1-3,3.7,2.0,97.0,9.0,30.0
2517,六盘水,2024-02-24,3.0,1.0,小雨,阴,1-3,1-3,1.0,3.0,86.0,24.0,55.0
2518,江门,2024-03-01,16.0,10.0,小雨,阴,1-3,1-3,1.0,2.0,66.0,25.0,55.0
2519,阿坝,2024-02-29,4.0,-8.0,小雪,阴,1-3,1-3,1.2,6.0,96.0,5.0,40.0
2520,六盘水,2024-02-25,14.0,1.0,多云,小雨,1-3,1-3,0.0,4.0,90.0,21.0,25.0
2521,河源,2024-02-24,13.0,7.0,阴,阴,1-3,1-3,0.0,2.0,69.0,25.0,25.0
2522,阿坝,2024-03-01,6.0,-7.0,小雪,阴,1-3,1-3,0.6,6.0,96.0,9.0,29.0
2523,六盘水,2024-02-26,8.0,1.0,阴,小雨,1-3,1-3,0.0,3.0,84.0,24.0,25.0
2524,河源,2024-02-25,14.0,7.0,多云,多云,1-3,1-3,0.0,2.0,77.0,25.0,25.0
2525,文山,2024-02-25,24.0,12.0,阴,阴,1-3,1-3,0.0,7.0,90.0,20.0,25.0
2526,河源,2024-02-26,17.0,9.0,多云,多云,1-3,1-3,0.0,7.0,64.0,25.0,25.0
2527,文山,2024-02-26,26.0,13.0,多云,阴,1-3,1-3,0.0,6.0,88.0,23.0,25.0
2528,河源,2024-02-27,19.0,9.0,多云,多云,1-3,1-3,0.0,7.0,73.0,25.0,25.0
2529,文山,2024-02-27,21.0,12.0,小雨,阴,1-3,1-3,1.0,3.0,91.0,13.0,55.0
2530,德阳,2024-02-24,8.0,0.0,多云,多云,1-3,1-3,0.0,5.0,87.0,24.0,25.0
2531,河源,2024-02-28,22.0,11.0,多云,多云,1-3,1-3,0.0,5.0,73.0,25.0,25.0
2532,六盘水,2024-02-27,6.0,1.0,阴,小雨,1-3,1-3,0.0,3.0,93.0,4.0,25.0
2533,文山,2024-02-28,23.0,13.0,阴,小雨,1-3,1-3,0.0,8.0,91.0,18.0,25.0
2534,德阳,2024-02-25,9.0,1.0,多云,多云,1-3,1-3,0.0,5.0,80.0,24.0,25.0
2535,河源,2024-02-29,22.0,10.0,阵雨,阵雨,1-3,1-3,1.0,6.0,65.0,25.0,60.0
2536,六盘水,2024-02-28,16.0,2.0,多云,小雨,1-3,1-3,0.0,4.0,86.0,23.0,25.0
2537,文山,2024-02-29,26.0,10.0,小雨,小雨,1-3,1-3,1.0,7.0,84.0,22.0,55.0
2538,河源,2024-03-01,13.0,8.0,阴,阴,1-3,1-3,0.0,2.0,80.0,24.0,25.0
2539,六盘水,2024-02-29,9.0,1.0,阴,阴,1-3,1-3,0.0,3.0,87.0,20.0,25.0
2540,文山,2024-03-01,18.0,8.0,阴,多云,1-3,1-3,0.0,4.0,89.0,8.0,25.0
2541,德阳,2024-02-26,11.0,2.0,多云,小雨,1-3,1-3,0.0,5.0,84.0,24.0,25.0
2542,清远,2024-02-24,10.0,8.0,阴,阴,1-3,1-3,0.0,2.0,74.0,25.0,25.0
2543,六盘水,2024-03-01,7.0,1.0,阴,阴,1-3,1-3,0.0,3.0,87.0,16.0,25.0
2544,玉溪,2024-02-24,24.0,9.0,晴,多云,1-3,1-3,0.0,7.0,59.0,25.0,25.0
2545,清远,2024-02-25,11.0,8.0,阴,阴,1-3,1-3,0.0,2.0,72.0,25.0,25.0
2546,黔西南,2024-02-24,9.0,4.0,阵雨,阴,1-3,1-3,1.0,3.0,91.0,14.0,60.0
2547,玉溪,2024-02-25,24.0,8.0,多云,多云,1-3,1-3,0.0,7.0,62.0,25.0,25.0
2548,德阳,2024-02-27,10.0,5.0,多云,阴,1-3,1-3,0.0,2.0,88.0,24.0,25.0
2549,清远,2024-02-26,13.0,9.0,阴,阴,1-3,1-3,0.0,2.0,74.0,25.0,25.0
2550,玉溪,2024-02-26,24.0,9.0,晴,晴,1-3,1-3,0.0,7.0,66.0,25.0,25.0
2551,清远,2024-02-27,14.0,10.0,多云,阴,1-3,1-3,0.0,6.0,71.0,25.0,25.0
2552,德阳,2024-02-28,12.0,5.0,阴,小雨,1-3,1-3,0.0,1.0,89.0,24.0,25.0
2553,黔西南,2024-02-25,13.0,4.0,阴,阴,1-3,1-3,0.0,6.0,95.0,2.0,25.0
2554,玉溪,2024-02-27,24.0,9.0,晴,晴,1-3,1-3,0.0,7.0,55.0,25.0,5.0
2555,清远,2024-02-28,22.0,11.0,多云,多云,1-3,1-3,0.0,7.0,73.0,25.0,25.0
2556,玉溪,2024-02-28,24.0,9.0,晴,晴,1-3,1-3,0.0,7.0,59.0,25.0,25.0
2557,清远,2024-02-29,20.0,10.0,阵雨,阴,1-3,1-3,4.4,2.0,72.0,25.0,77.0
2558,德阳,2024-02-29,10.0,6.0,阴,小雨,1-3,1-3,0.0,2.0,86.0,24.0,25.0
2559,玉溪,2024-02-29,24.0,8.0,晴,晴,1-3,1-3,0.0,8.0,45.0,25.0,25.0
2560,清远,2024-03-01,13.0,10.0,阵雨,阵雨,1-3,1-3,1.0,2.0,80.0,21.0,55.0
2561,德阳,2024-03-01,11.0,5.0,阴,阴,1-3,1-3,0.0,1.0,89.0,23.0,25.0
2562,玉溪,2024-03-01,23.0,6.0,晴,多云,1-3,1-3,0.0,8.0,61.0,20.0,25.0
2563,黔西南,2024-02-26,16.0,6.0,阴,小雨,1-3,1-3,0.0,6.0,89.0,16.0,25.0
2564,云浮,2024-02-24,13.0,8.0,阴,多云,1-3,1-3,0.0,2.0,66.0,25.0,25.0
2565,广元,2024-02-24,9.0,1.0,多云,多云,1-3,1-3,0.0,5.0,86.0,25.0,25.0
2566,楚雄,2024-02-24,22.0,8.0,多云,晴,1-3,1-3,0.0,7.0,72.0,25.0,25.0
2567,黔西南,2024-02-27,10.0,6.0,小雨,阴,1-3,1-3,1.0,3.0,97.0,1.0,55.0
2568,楚雄,2024-02-25,22.0,8.0,多云,晴,1-3,1-3,0.0,7.0,68.0,25.0,25.0
2569,黔西南,2024-02-28,23.0,8.0,多云,小雨,1-3,1-3,0.0,7.0,90.0,17.0,25.0
2570,楚雄,2024-02-26,23.0,11.0,晴,晴,1-3,1-3,0.0,7.0,64.0,25.0,20.0
2571,广元,2024-02-25,10.0,1.0,阴,小雨,1-3,1-3,0.0,5.0,84.0,24.0,25.0
2572,楚雄,2024-02-27,23.0,9.0,晴,晴,1-3,1-3,0.0,7.0,60.0,25.0,20.0
2573,广元,2024-02-26,8.0,2.0,小雨,小雨,1-3,1-3,1.0,1.0,76.0,22.0,55.0
2574,楚雄,2024-02-28,22.0,9.0,晴,晴,1-3,1-3,0.0,6.0,66.0,25.0,5.0
2575,云浮,2024-02-25,15.0,8.0,多云,多云,1-3,1-3,0.0,2.0,69.0,25.0,25.0
2576,楚雄,2024-02-29,22.0,8.0,晴,晴,1-3,1-3,0.0,7.0,43.0,25.0,25.0
2577,广元,2024-02-27,9.0,3.0,阴,阴,1-3,1-3,0.0,1.0,88.0,23.0,25.0
2578,云浮,2024-02-26,17.0,11.0,多云,多云,1-3,1-3,0.0,2.0,67.0,25.0,25.0
2579,楚雄,2024-03-01,22.0,7.0,晴,多云,1-3,1-3,0.0,7.0,42.0,25.0,25.0
2580,广元,2024-02-28,11.0,4.0,小雨,中雨,1-3,1-3,1.0,2.0,81.0,24.0,55.0
2581,普洱,2024-02-24,24.0,13.0,晴,多云,1-3,1-3,0.0,7.0,53.0,25.0,25.0
2582,云浮,2024-02-27,18.0,12.0,多云,多云,1-3,1-3,0.0,3.0,68.0,25.0,25.0
2583,广元,2024-02-29,11.0,4.0,阴,小雨,1-3,1-3,0.0,5.0,68.0,24.0,25.0
2584,黔西南,2024-02-29,14.0,7.0,小雨,小雨,1-3,1-3,1.0,3.0,81.0,23.0,55.0
2585,普洱,2024-02-25,24.0,12.0,晴,晴,1-3,1-3,0.0,7.0,55.0,25.0,25.0
2586,广元,2024-03-01,11.0,3.0,阴,阴,1-3,1-3,0.0,5.0,66.0,22.0,25.0
2587,云浮,2024-02-28,22.0,14.0,多云,多云,1-3,1-3,0.0,2.0,84.0,25.0,25.0
2588,普洱,2024-02-26,24.0,13.0,晴,晴,1-3,1-3,0.0,8.0,52.0,25.0,20.0
2589,普洱,2024-02-27,24.0,13.0,晴,晴,1-3,1-3,0.0,8.0,50.0,25.0,5.0
2590,云浮,2024-02-29,23.0,11.0,阵雨,阵雨,1-3,1-3,1.0,2.0,72.0,24.0,60.0
2591,广州,2024-02-24,15.0,10.0,阴,多云,1-3,1-3,0.0,2.0,64.0,25.0,25.0
2592,普洱,2024-02-28,24.0,12.0,晴,晴,1-3,1-3,0.0,8.0,50.0,25.0,25.0
2593,黔西南,2024-03-01,13.0,6.0,阴,小雨,1-3,1-3,0.0,5.0,70.0,25.0,25.0
2594,云浮,2024-03-01,19.0,10.0,阵雨,阵雨,1-3,1-3,2.4,2.0,78.0,25.0,64.0
2595,普洱,2024-02-29,24.0,13.0,晴,晴,1-3,1-3,0.0,8.0,40.0,25.0,25.0
2596,成都,2024-02-24,9.0,1.0,多云,晴,1-3,1-3,0.0,5.0,84.0,24.0,25.0
2597,潮州,2024-02-24,21.0,12.0,阴,阴,1-3,1-3,0.0,2.0,72.0,25.0,25.0
2598,普洱,2024-03-01,24.0,13.0,晴,多云,1-3,1-3,0.0,8.0,39.0,25.0,25.0
2599,潮州,2024-02-25,21.0,11.0,阴,阴,1-3,1-3,0.0,7.0,80.0,25.0,25.0
2600,广州,2024-02-25,16.0,10.0,多云,多云,1-3,1-3,0.0,2.0,58.0,25.0,25.0
2601,昭通,2024-02-24,10.0,-4.0,雨夹雪,多云,1-3,1-3,2.4,6.0,90.0,19.0,64.0
2602,广州,2024-02-26,20.0,11.0,多云,多云,1-3,1-3,0.0,2.0,60.0,25.0,25.0
2603,成都,2024-02-25,10.0,2.0,多云,多云,1-3,1-3,0.0,5.0,82.0,24.0,25.0
2604,昭通,2024-02-25,19.0,-3.0,多云,多云,1-3,1-3,0.0,6.0,91.0,12.0,25.0
2605,广州,2024-02-27,21.0,13.0,多云,多云,1-3,1-3,0.0,7.0,60.0,25.0,25.0
2606,成都,2024-02-26,10.0,4.0,多云,阴,1-3,1-3,0.0,2.0,81.0,24.0,25.0
2607,昭通,2024-02-26,16.0,0.0,晴,多云,1-3,1-3,0.0,7.0,85.0,15.0,25.0
2608,广州,2024-02-28,22.0,15.0,多云,阴,1-3,1-3,0.0,3.0,72.0,25.0,25.0
2609,昭通,2024-02-27,16.0,0.0,多云,多云,1-3,1-3,0.0,7.0,91.0,13.0,25.0
2610,广州,2024-02-29,24.0,12.0,阴,阴,1-3,3-4,0.0,4.0,60.0,25.0,25.0
2611,昭通,2024-02-28,17.0,0.0,多云,雨夹雪,1-3,1-3,0.0,7.0,92.0,6.0,25.0
2612,昭通,2024-02-29,7.0,1.0,多云,阴,1-3,1-3,0.0,6.0,90.0,7.0,25.0
2613,昭通,2024-03-01,11.0,1.0,多云,多云,1-3,1-3,0.0,7.0,80.0,16.0,25.0
2614,北海,2024-02-25,11.0,8.0,小雨,小雨,3-4,3-4,1.0,5.0,81.0,25.0,55.0
2615,临沧,2024-02-24,25.0,8.0,晴,晴,1-3,1-3,0.0,7.0,75.0,25.0,20.0
2616,广州,2024-03-01,15.0,11.0,阴,阴,1-3,1-3,0.0,2.0,70.0,23.0,25.0
2617,临沧,2024-02-25,23.0,8.0,多云,晴,1-3,1-3,0.0,7.0,70.0,25.0,25.0
2618,韶关,2024-02-24,7.0,6.0,阵雨,阴,1-3,1-3,1.0,1.0,82.0,24.0,60.0
2619,临沧,2024-02-26,25.0,8.0,晴,晴,1-3,1-3,0.0,7.0,66.0,25.0,10.0
2620,韶关,2024-02-25,10.0,6.0,阴,阴,1-3,1-3,0.0,2.0,80.0,25.0,25.0
2621,临沧,2024-02-27,26.0,7.0,晴,晴,1-3,1-3,0.0,7.0,60.0,25.0,25.0
2622,韶关,2024-02-26,11.0,7.0,阵雨,阴,1-3,1-3,1.0,2.0,77.0,25.0,60.0
2623,临沧,2024-02-28,26.0,7.0,晴,晴,1-3,1-3,0.0,8.0,61.0,25.0,25.0
2624,韶关,2024-02-27,11.0,7.0,阴,阴,1-3,1-3,0.0,2.0,80.0,25.0,25.0
2625,潮州,2024-02-26,22.0,12.0,多云,阴,1-3,1-3,0.0,7.0,77.0,25.0,25.0
2626,临沧,2024-02-29,25.0,6.0,晴,晴,1-3,1-3,0.0,8.0,50.0,25.0,10.0
2627,潮州,2024-02-27,22.0,11.0,多云,阴,1-3,1-3,0.0,7.0,82.0,25.0,25.0
2628,韶关,2024-02-28,19.0,9.0,多云,阴,1-3,1-3,0.0,6.0,79.0,25.0,25.0
2629,临沧,2024-03-01,24.0,6.0,晴,晴,1-3,1-3,0.0,8.0,43.0,25.0,20.0
2630,北海,2024-02-26,13.0,10.0,小雨,小雨,3-4,3-4,1.0,2.0,77.0,23.0,55.0
2631,潮州,2024-02-28,23.0,12.0,阴,阴,1-3,1-3,0.0,2.0,78.0,25.0,25.0
2632,怒江,2024-02-24,24.0,12.0,阵雨,晴,1-3,1-3,2.6,6.0,64.0,24.0,68.0
2633,北海,2024-02-27,17.0,10.0,小雨,小雨,3-4,3-4,1.0,2.0,92.0,24.0,55.0
2634,韶关,2024-02-29,16.0,7.0,阴,阴,1-3,1-3,0.0,2.0,83.0,24.0,25.0
2635,怒江,2024-02-25,23.0,12.0,晴,小雨,1-3,1-3,0.0,3.0,84.0,24.0,25.0
2636,北海,2024-02-28,22.0,17.0,阴,多云,3-4,1-3,0.0,6.0,90.0,25.0,25.0
2637,韶关,2024-03-01,14.0,7.0,阴,阴,1-3,1-3,0.0,2.0,88.0,17.0,25.0
2638,怒江,2024-02-26,26.0,12.0,小雨,晴,1-3,1-3,1.2,7.0,70.0,25.0,61.0
2639,北海,2024-02-29,23.0,11.0,多云,小雨,1-3,4-5,0.0,8.0,78.0,24.0,25.0
2640,潮州,2024-02-29,23.0,16.0,阴,阵雨,1-3,1-3,0.0,2.0,80.0,25.0,25.0
2641,惠州,2024-02-24,17.0,10.0,多云,多云,1-3,1-3,0.0,2.0,59.0,25.0,25.0
2642,怒江,2024-02-27,25.0,12.0,多云,晴,1-3,1-3,0.0,3.0,62.0,25.0,25.0
2643,北海,2024-03-01,14.0,11.0,小雨,小雨,4-5,4-5,1.0,2.0,82.0,24.0,55.0
2644,潮州,2024-03-01,20.0,13.0,阵雨,阴,1-3,1-3,1.0,2.0,70.0,24.0,55.0
2645,惠州,2024-02-25,18.0,10.0,多云,多云,1-3,1-3,0.0,2.0,67.0,25.0,25.0
2646,防城港,2024-02-24,10.0,7.0,小雨,小雨,3-4,3-4,1.0,2.0,78.0,25.0,55.0
2647,东莞,2024-02-24,16.0,13.0,多云,阴,1-3,1-3,0.0,2.0,60.0,25.0,25.0
2648,防城港,2024-02-25,10.0,7.0,小雨,小雨,3-4,1-3,1.0,2.0,80.0,24.0,55.0
2649,东莞,2024-02-25,18.0,13.0,阴,阴,1-3,1-3,0.0,2.0,63.0,25.0,25.0
2650,惠州,2024-02-26,20.0,12.0,多云,多云,1-3,1-3,0.0,3.0,66.0,25.0,25.0
2651,防城港,2024-02-26,13.0,9.0,小雨,小雨,1-3,1-3,1.0,2.0,82.0,24.0,55.0
2652,防城港,2024-02-27,14.0,9.0,小雨,小雨,1-3,1-3,1.0,2.0,85.0,24.0,55.0
2653,惠州,2024-02-27,22.0,12.0,多云,多云,1-3,1-3,0.0,7.0,82.0,25.0,25.0
2654,东莞,2024-02-26,20.0,14.0,阴,阴,1-3,1-3,0.0,6.0,59.0,25.0,25.0
2655,防城港,2024-02-28,20.0,12.0,小雨,小雨,1-3,1-3,4.3,2.0,94.0,21.0,75.0
2656,东莞,2024-02-27,20.0,14.0,多云,多云,1-3,1-3,0.0,2.0,71.0,25.0,25.0
2657,防城港,2024-02-29,22.0,11.0,小雨,阴,1-3,1-3,1.0,7.0,78.0,24.0,55.0
2658,惠州,2024-02-28,23.0,15.0,多云,多云,1-3,1-3,0.0,3.0,80.0,25.0,25.0
2659,东莞,2024-02-28,23.0,15.0,多云,多云,1-3,1-3,0.0,3.0,70.0,25.0,25.0
2660,防城港,2024-03-01,14.0,11.0,阴,小雨,3-4,3-4,0.0,2.0,78.0,24.0,25.0
2661,惠州,2024-02-29,25.0,16.0,多云,多云,1-3,1-3,0.0,2.0,61.0,24.0,25.0
2662,香港,2024-02-24,19.0,16.0,多云,多云,3-4,1-3,0.0,2.0,64.0,25.0,25.0
2663,香港,2024-02-25,20.0,16.0,多云,多云,1-3,3-4,0.0,2.0,82.0,25.0,25.0
2664,香港,2024-02-26,20.0,17.0,多云,多云,3-4,3-4,0.0,5.0,82.0,25.0,25.0
2665,香港,2024-02-27,20.0,17.0,多云,多云,3-4,3-4,0.0,6.0,83.0,25.0,25.0
2666,香港,2024-02-28,21.0,18.0,多云,多云,3-4,1-3,0.0,2.0,91.0,25.0,25.0
2667,怒江,2024-02-28,24.0,12.0,小雨,小雨,1-3,1-3,2.3,3.0,93.0,23.0,63.0
2668,香港,2024-02-29,24.0,16.0,多云,阴,1-3,1-3,0.0,2.0,85.0,21.0,25.0
2669,怒江,2024-02-29,24.0,10.0,晴,晴,1-3,1-3,0.0,7.0,73.0,25.0,25.0
2670,香港,2024-03-01,19.0,15.0,阴,阴,1-3,1-3,0.0,2.0,66.0,24.0,25.0
2671,怒江,2024-03-01,25.0,10.0,晴,晴,1-3,1-3,0.0,7.0,68.0,25.0,25.0
2672,澳门,2024-02-24,19.0,14.0,阴,多云,1-3,1-3,0.0,2.0,65.0,25.0,25.0
2673,迪庆,2024-02-24,4.0,-5.0,雨夹雪,小雪,1-3,1-3,5.1,5.0,99.0,2.0,40.0
2674,澳门,2024-02-25,19.0,14.0,多云,多云,1-3,1-3,0.0,2.0,72.0,24.0,25.0
2675,东莞,2024-02-29,25.0,15.0,多云,多云,1-3,1-3,0.0,3.0,56.0,25.0,25.0
2676,迪庆,2024-02-25,6.0,-3.0,雨夹雪,雨夹雪,1-3,1-3,2.5,2.0,94.0,1.0,64.0
2677,澳门,2024-02-26,21.0,15.0,多云,多云,1-3,1-3,0.0,3.0,80.0,24.0,25.0
2678,东莞,2024-03-01,18.0,12.0,阴,阴,1-3,1-3,1.0,2.0,65.0,25.0,55.0
2679,迪庆,2024-02-26,7.0,-6.0,多云,多云,1-3,1-3,0.0,5.0,91.0,6.0,23.0
2680,澳门,2024-02-27,20.0,15.0,多云,多云,1-3,1-3,0.0,2.0,81.0,25.0,25.0
2681,中山,2024-02-24,16.0,11.0,阴,多云,1-3,1-3,0.0,2.0,61.0,25.0,25.0
2682,迪庆,2024-02-27,7.0,-4.0,多云,小雪,1-3,1-3,0.0,6.0,96.0,7.0,18.0
